country;year;gdp;population;directContributionToGdpDollars;departuresWW;employmentNumberJobs;expendituresDollars;receiptsDollars;arrivalsWW;netOccupancyRate;percentageContributionGdp
Austria        ;2000; 196998000000.0;8011566; 15939500000.0;7528000; 215429;7001000000;11382000000;17982000;-1; 8.091
Austria        ;2001; 197123000000.0;8042293; 16196100000.0;8350000; 217096;7408000000;11511000000;18180000;-1; 8.216
Austria        ;2002; 213725000000.0;8081957; 16528700000.0;8266000; 219955;7743000000;12334000000;18611000;-1; 7.734
Austria        ;2003; 261220000000.0;8121423; 16792000000.0;8384000; 223924;9761000000;15128000000;19078000;-1; 6.428
Austria        ;2004; 300264000000.0;8171966; 17418700000.0;8371000; 229465;10812000000;17251000000;19374000;-1; 5.801
Austria        ;2005; 315187000000.0;8227829; 17798400000.0;8206000; 240320;11077000000;18471000000;19952000;-1; 5.647
Austria        ;2006; 334603000000.0;8268641; 17963900000.0;10042000; 234057;9628000000;16512000000;20269000;-1; 5.369
Austria        ;2007; 386995000000.0;8295487; 18110900000.0;9876000; 226247;10560000000;18559000000;20773000;-1; 4.68
Austria        ;2008; 429638000000.0;8321496; 18724400000.0;9677000; 235099;11431000000;21632000000;21935000;-1; 4.358
Austria        ;2009; 398602000000.0;8343323; 17493400000.0;10121000; 234852;10815000000;19156000000;21355000;-1; 4.389
Austria        ;2010; 390939000000.0;8363404; 18935800000.0;9882000; 246580;10122000000;18757000000;22004000;-1; 4.844
Austria        ;2011; 429431000000.0;8391643; 19309900000.0;9874000; 244143;10550000000;19778000000;23012000;-1; 4.497
Austria        ;2012; 407599000000.0;8429991; 19404000000.0;10960000; 248442;9992000000;18937000000;24151000;28.3; 4.761
Austria        ;2013; 428833000000.0;8479375; 19487100000.0;10671000; 245745;10254000000;20220000000;24813000;28.3; 4.544
Austria        ;2014; 437582000000.0;8541575; 19688200000.0;10994000; 249517;10849000000;20907000000;25291000;28.3; 4.499
Austria        ;2015; 374261000000.0;8611088; 20458000000.0;-1; 261100;-1;-1;-1;28.9; 5.466
Austria        ;2016; 387299000000.0;-1; 21279900000.0;-1; 270357;-1;-1;-1;-1; 5.494
Belgium        ;2000; 238603000000.0;10251250; 13291900000.0;7932000; 165520;9429000000;6592000000;6457000;-1; 5.571
Belgium        ;2001; 238046000000.0;10286570; 11592200000.0;6570000; 146001;10878000000;8304000000;6452000;-1; 4.87
Belgium        ;2002; 259777000000.0;10332785; 9593220000.0;6773000; 118979;11270000000;7598000000;6720000;-1; 3.693
Belgium        ;2003; 319613000000.0;10376133; 9403550000.0;7268000; 114162;13402000000;8848000000;6690000;-1; 2.942
Belgium        ;2004; 371388000000.0;10421137; 10158600000.0;8783000; 119632;15456000000;10089000000;6710000;-1; 2.735
Belgium        ;2005; 388029000000.0;10478617; 9567290000.0;9327000; 112919;16771000000;10881000000;6747000;-1; 2.466
Belgium        ;2006; 410173000000.0;10547958; 9548330000.0;7852000; 109914;17891000000;11625000000;6995000;-1; 2.328
Belgium        ;2007; 472475000000.0;10625700; 9873740000.0;8371000; 111883;19215000000;12371000000;7045000;-1; 2.09
Belgium        ;2008; 521084000000.0;10709973; 9689290000.0;8887000; 111996;19514000000;12018000000;7165000;-1; 1.859
Belgium        ;2009; 485781000000.0;10796493; 9403500000.0;8775000; 112547;19045000000;11423000000;6815000;-1; 1.936
Belgium        ;2010; 484450000000.0;10895586; 9346620000.0;8801000; 108874;18866000000;11395000000;7186000;-1; 1.929
Belgium        ;2011; 527491000000.0;11047744; 9934950000.0;9727000; 113445;20658000000;12742000000;7494000;-1; 1.883
Belgium        ;2012; 498092000000.0;11128246; 10036200000.0;9576000; 114053;22367000000;13711000000;7560000;39.8; 2.015
Belgium        ;2013; 521534000000.0;11182817; 10304600000.0;10818000; 111580;24201000000;14429000000;7684000;40.4; 1.976
Belgium        ;2014; 532079000000.0;11231213; 10668100000.0;-1; 115654;26404000000;15302000000;7887000;-1; 2.005
Belgium        ;2015; 454288000000.0;11285721; 11157100000.0;-1; 119435;-1;-1;-1;-1; 2.456
Belgium        ;2016; 470179000000.0;-1; 11271800000.0;-1; 120184;-1;-1;-1;-1; 2.397
Bulgaria       ;2000; 13148000000.0;8170172; 1881210000.0;2337000; 104751;764000000;1364000000;2785000;-1; 14.308
Bulgaria       ;2001; 14135000000.0;8020282; 2111350000.0;2730000; 126157;836000000;1262000000;3186000;-1; 14.937
Bulgaria       ;2002; 16361000000.0;7868468; 2189600000.0;3188000; 123695;1018000000;1392000000;3433000;-1; 13.383
Bulgaria       ;2003; 21076000000.0;7823557; 2453100000.0;3403000; 178693;1467000000;2051000000;4048000;-1; 11.639
Bulgaria       ;2004; 26094000000.0;7781161; 2718810000.0;3882000; 193589;1935000000;2796000000;4630000;-1; 10.419
Bulgaria       ;2005; 29821000000.0;7739900; 2671720000.0;4235000; 182562;1858000000;3063000000;4837000;-1; 8.959
Bulgaria       ;2006; 34305000000.0;7699020; 2650480000.0;4180000; 179566;2099000000;3317000000;5158000;-1; 7.726
Bulgaria       ;2007; 44765000000.0;7545338; 1824250000.0;4515000; 121128;2142000000;4181000000;5151000;-1; 4.075
Bulgaria       ;2008; 54661000000.0;7492561; 1796630000.0;5727000; 117370;2602000000;4852000000;5780000;-1; 3.287
Bulgaria       ;2009; 51784000000.0;7444443; 1687940000.0;4993000; 111801;1955000000;4273000000;5739000;-1; 3.26
Bulgaria       ;2010; 49940000000.0;7395599; 1817000000.0;3676000; 115703;891000000;3773000000;6047000;-1; 3.638
Bulgaria       ;2011; 56952000000.0;7348328; 1693410000.0;3803000; 100141;904000000;3836000000;6328000;-1; 2.973
