country;year;destination;numberTrips
Austria                                         ;2004;Belgium                                         ;59772
Austria                                         ;2004;Czech Republic                                  ;204508
Austria                                         ;2004;Denmark                                         ;24643
Austria                                         ;2004;Finland                                         ;13115
Austria                                         ;2004;France                                          ;265631
Austria                                         ;2004;Germany                                         ;1495551
Austria                                         ;2004;Greece                                          ;427154
Austria                                         ;2004;Hungary                                         ;344474
Austria                                         ;2004;Ireland                                         ;55303
Austria                                         ;2004;Italy                                           ;1760463
Austria                                         ;2004;Luxembourg                                      ;11276
Austria                                         ;2004;Netherlands                                     ;86308
Austria                                         ;2004;Poland                                          ;69126
Austria                                         ;2004;Portugal                                        ;66473
Austria                                         ;2004;Slovakia                                        ;75479
Austria                                         ;2004;Spain                                           ;433895
Austria                                         ;2004;Sweden                                          ;49254
Austria                                         ;2004;United Kingdom                                  ;175114
Austria                                         ;2005;Belgium                                         ;59033
Austria                                         ;2005;Bulgaria                                        ;33572
Austria                                         ;2005;Czech Republic                                  ;191308
Austria                                         ;2005;Denmark                                         ;20771
Austria                                         ;2005;Finland                                         ;14300
Austria                                         ;2005;France                                          ;247268
Austria                                         ;2005;Germany                                         ;1498487
Austria                                         ;2005;Greece                                          ;420562
Austria                                         ;2005;Hungary                                         ;473503
Austria                                         ;2005;Ireland                                         ;51371
Austria                                         ;2005;Italy                                           ;1545552
Austria                                         ;2005;Luxembourg                                      ;5047
Austria                                         ;2005;Malta                                           ;28327
Austria                                         ;2005;Netherlands                                     ;49454
Austria                                         ;2005;Poland                                          ;120329
Austria                                         ;2005;Portugal                                        ;73345
Austria                                         ;2005;Romania                                         ;72280
Austria                                         ;2005;Slovakia                                        ;67591
Austria                                         ;2005;Slovenia                                        ;209657
Austria                                         ;2005;Spain                                           ;339157
Austria                                         ;2005;Sweden                                          ;23294
Austria                                         ;2005;United Kingdom                                  ;173314
Austria                                         ;2006;Belgium                                         ;85426
Austria                                         ;2006;Bulgaria                                        ;46131
Austria                                         ;2006;Cyprus                                          ;36990
Austria                                         ;2006;Czech Republic                                  ;254552
Austria                                         ;2006;Denmark                                         ;27685
Austria                                         ;2006;Finland                                         ;22322
Austria                                         ;2006;France                                          ;283711
Austria                                         ;2006;Germany                                         ;1825931
Austria                                         ;2006;Greece                                          ;425780
Austria                                         ;2006;Hungary                                         ;440572
Austria                                         ;2006;Ireland                                         ;37582
Austria                                         ;2006;Italy                                           ;1920910
Austria                                         ;2006;Latvia                                          ;5678
Austria                                         ;2006;Malta                                           ;14741
Austria                                         ;2006;Netherlands                                     ;137651
Austria                                         ;2006;Poland                                          ;164643
Austria                                         ;2006;Portugal                                        ;69828
Austria                                         ;2006;Romania                                         ;90790
Austria                                         ;2006;Slovakia                                        ;87395
Austria                                         ;2006;Slovenia                                        ;324082
